No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
3802,MMYT,MakeMyTrip Limited,Services,General Entertainment,India,554.06,135.55,43.85,1.69,2.63,4.55,5.95,13.85,,0,0.11,26.15,78.95,,80,,-1084.86,4.29,37.16,33.65,42.45,,92.17,0.26,1.3,9.14,2.43,3.75,3.55,2.45,2.44,0,0,41.55,-0.92,1.99,1.29,13.47,0.34,5.07,-36.15,19.86,,0.71,4.41,4.76,4.9,9.08,-4.46,-4.67,24.15,-39.64,38.44,57.36,2.9,-0.21,,47.93,0.35,14.91,2.69,16991,2/7/2013 8:30
3803,MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,188.08,,11.94,,0.57,1.15,1.72,,4.62,,-1.91,-0.9,8.41,0,8,,,-0.47,13.58,13.53,0.41,,92.31,1.54,3.72,13.68,-59.23,-14.69,-52.29,3.32,,0,0,,-31.46,-34.52,0.51,10.45,17.27,6.37,9.57,11.24,,0.31,1.93,2.32,4.43,7.53,7.81,-1.07,16.73,-4.79,23.58,62.66,2.29,0,2.6,36.8,1.04,13.85,2.29,38157,2/13/2013 16:30
3804,MNA,IQ Merger Arbitrage ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.58,2.7,1.95,0.52,-0.2,,0.19,0.49,0.62,0.5,1.41,0.72,-0.79,3.63,-5.8,13.34,56.42,0.04,0.24,,6.34,2.62,25.11,0.28,16600,
3805,MNDO,"MIND C.T.I., Ltd.",Technology,Information Technology Services,Israel,40.56,9.82,,,1.98,1.88,2.33,289.73,11.11,107.73,0.22,-12.53,,40.16,,-1.17,39.57,1.77,18.77,14.96,30.51,,7.45,,0.06,0.35,14.92,19.27,17.58,4.69,4.69,0,0,59.6,20.32,20.35,-1.32,7.51,12.55,30.97,5.93,8.05,1.37,0.06,2.02,2.83,0.84,5.44,16.35,-4.8,17.45,-15.36,31.77,55.01,-0.41,-0.91,,25.3,0.6,2.16,-1.32,15064,3/6/2013 8:30
3806,MNE,"BlackRock Muni New York Intermediate Duration Fund, Inc.",Financial,Closed-End Fund - Debt,USA,66.35,,,,,,,,4.76,,,,,,,,,,4.21,4.2,,,10.01,,0.11,0.45,,,,,,,,,,,-1.99,2.2,0.51,2.87,12.73,2.47,0.23,0.16,1.14,0.86,-0.85,-1.03,3.21,-3.9,3.75,-3.9,16.4,42.71,-1.25,0,,10.25,0.39,15.76,-1.25,4020,
3807,MNGA,Magnegas Corporation,Industrial Goods,Waste Management,USA,31.96,,,,47.01,2.8,7.42,,,,-0.42,-10895.17,75,0,,,-360.62,147.51,20.04,10.45,2.32,-57.54,9.95,-0.5,0.26,1.19,-78.28,-90.47,-90.47,5.1,3.67,0,0,60.36,-910.2,-1005.48,-0.93,13.12,-32.42,-61.57,-30.65,2.9,1.43,0.18,7.97,12.55,-0.03,-3.46,-53.72,-25.81,47.69,-81.01,47.69,46.74,2.24,-4.29,1.5,22.99,0.37,1.6,-2.15,8429,
3808,MNGL,Blue Wolf Mongolia Holdings Corp.,Conglomerates,Conglomerates,USA,99.39,,,,,19.76,,,,,-0.07,,,,,,,,10.06,5.01,30.68,,42.9,,0,0,,,,,,,,,,,-0.3,-0.6,0.61,1.33,2.17,-0.6,,0.01,0,0.02,-0.37,-1.02,0.43,-4.45,0.61,-4.45,4,29.77,-0.7,0,,14.79,6.76,9.88,-0.7,100000,
3809,MNI,The McClatchy Company,Services,Publishing - Newspapers,USA,270.55,3.8,4.92,0.76,0.22,1.29,17.18,4.02,11.43,0,0.83,63.35,-5.88,-25.95,5,-5.39,-46,-4.25,85.89,60.15,6.66,-1.35,88.79,0.01,20.82,30.84,2.45,33.81,2.64,1.11,0.95,7.21,7.21,51.09,16.39,5.86,5,3.28,18.87,105.88,28.57,-3.67,3.2,0.11,2.5,3.3,-1.69,-0.06,28.69,-8.96,13.31,-8.96,110,47.75,1.94,-0.96,2,406.1,0.71,3.15,0.96,290088,2/7/2013 8:30
3810,MNKD,MannKind Corp.,Healthcare,Biotechnology,USA,629.2,,,,15729.92,,296.79,,,,-1.02,12.02,48.9,0,,-12.94,28.5,,245.78,162.15,0.77,59.38,13.13,0.25,17.51,11.23,-70.9,,-84.31,0.45,,,,,,,-3.03,10.82,38.38,0.39,-17.15,10.82,1.08,0.1,2.98,4.18,1.09,13.1,12.83,-5.88,36.17,-26.44,63.06,60.17,-0.78,0.78,2.1,2528.92,0.92,2.56,0,2318770,2/19/2013
3811,MNOV,MediciNova Inc.,Healthcare,Biotechnology,USA,31.48,,,,40.88,1.89,5.48,,,,-0.74,26.4,48.4,0,20,,43.54,,17.2,14.99,12.87,2.16,9.98,1.78,0.8,3.88,-52.15,-66.93,-57.91,5.49,,0,0,,-1500.53,-1565.3,11.59,10.24,-7.58,10.91,-5.67,11.59,0.9,0.1,6.19,5.77,10.11,5.9,-8.04,-7.11,22.82,-53.67,41.86,64.25,7.65,-1.16,1,30.91,2.23,1.83,6.4,68965,11/13/2012
3812,MNP,Western Asset Municipal Partners Fund Inc.,Financial,Closed-End Fund - Debt,USA,167.18,,,,,,,,4.88,,,,,,,,,,9.72,9.59,0.01,-91.14,27.22,291.51,0.41,1.36,,,,,,,,,,,-1.43,-2.55,-1.38,1.12,15.36,0.29,0.12,0.23,1.06,1.25,-2.23,-2.33,2.68,-5.33,1.71,-5.33,20.13,38.61,-2.11,-0.34,,29.03,0.56,17.2,-2.44,16114,
3813,MNR,Monmouth Real Estate Investment Corp.,Financial,REIT - Industrial,USA,451.85,32.26,156.71,,8.41,1.42,18.33,,5.47,180.33,0.34,4.79,0,12.77,,13.72,-63.7,9.11,41.19,34.61,10.61,4.8,42.77,-0.45,2.22,7.54,3.55,6.82,3.57,,,0.8,0.8,89.25,45.83,34.75,6.82,6.61,-0.27,3.3,25.09,5.89,0.65,0.2,1.68,1.69,5.58,7.01,4.17,2.72,14.99,-5.82,27.21,69.92,3.39,0.76,2,101.85,2.63,10.97,4.18,267475,2/7/2013 16:30
3814,MNRK,"Monarch Financial Holdings, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,63.13,8.07,8.3,,1.41,0.75,2.42,,2.29,15.78,1.08,11.85,-11.76,3.13,,9.99,78.37,15.97,7.24,6.58,2.64,5.52,24.55,50.96,0.16,0.58,1.21,12.5,,,,0.12,0.18,,14.63,9.78,0.46,4.43,1.28,10.1,34.57,6.08,0.57,0.15,1.25,1.63,2.22,3.28,7.07,-3,8.73,-3,40.32,59.86,0.46,0,1,18.51,1.58,8.72,0.46,29239,10/15/2012
3815,MNRO,Monro Muffler Brake Inc.,Consumer Goods,Auto Parts,USA,1145.84,25.08,19.07,1.34,1.65,3.26,599.92,35.19,1.09,25.04,1.46,17.52,34.27,21.23,18.75,10.47,-23.61,1.86,31.29,29.55,5.45,-8.08,,0.22,21.26,21.62,8.81,14.3,11.06,1.34,0.37,0.26,0.28,39.22,11.45,6.81,1.84,10.73,9.67,5.14,-11.63,4.93,0.5,1.01,2.73,2.93,3.53,9.22,4.97,-2.16,19.94,-22.01,20.3,66.17,0.69,0.53,2.3,290.57,1.48,36.62,1.22,429301,1/29/2013 8:30
3816,MNST,Monster Beverage Corporation,Consumer Goods,Beverages - Soft Drinks,USA,8131.51,26.07,20.36,1.37,4.07,9.14,13.77,28.84,,0,1.82,34.53,23.28,25.28,19,22.97,6.11,14.16,171.37,146.03,2.22,71.8,78.81,-0.3,3.08,1.85,26.53,36.94,32.77,3.56,2.95,0,0,51.82,27.02,16.84,-0.77,-8.79,15.51,-28.72,-12.52,-10.2,0.27,1.56,2.5,3.22,-5.73,-5.97,-20.67,-17.28,11.8,-43.48,18.65,38.03,1.04,0.54,2.4,2433.59,0.54,47.45,1.58,1315708,2/18/2013
3817,MNTA,Momenta Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,671.45,,,,8.33,1.79,1.86,12.35,,,-0.84,337.21,-52,0,,77.65,-143.26,-94.2,51.69,45.66,2.19,-1.74,89.45,5.57,6.12,5.86,-10.05,-10.89,-10.49,18.42,,0,0,,-53.84,-52.35,4.51,13.05,-7.02,-8.97,-32.03,10.18,1.3,0.37,2.97,3.04,5.79,12.91,-4.4,0.15,29.25,-31.99,29.25,72.83,3.84,-1.42,2.3,476.44,1.05,12.99,2.36,501299,2/15/2013 8:30
3818,MNTG,"MTR Gaming Group, Inc.",Services,Resorts & Casinos,USA,111.04,,11.79,,0.23,5.99,1.25,,,,-0.24,-920.08,,-5.09,15,7.53,112.61,26.82,27.69,26.56,2.81,4.01,59.11,0.18,1.79,9.16,-1.04,-31.35,-1.14,1.47,1.42,29.68,29.68,35.94,13.45,-1.41,0.5,0,4.97,2.82,68.49,-3.84,1.76,0.19,3.39,5.42,-2.94,13.58,-3.72,-10.89,46.35,-29.9,78.22,54.05,1.78,0.25,2.5,51.77,0.49,4.01,2.04,25446,3/4/2013
3819,MNTX,"Manitex International, Inc.",Industrial Goods,Diversified Machinery,USA,117.53,18.13,10.45,0.45,0.63,2.06,35.51,,,0,0.53,29.91,37.31,24.41,40,28.46,131.45,44.5,12.23,10.37,9.07,5.72,49.22,-0.66,4.07,4.71,4.75,12.41,6.49,2.32,0.96,0.69,0.83,20.31,6.51,3.43,6.54,33.1,41.74,31.28,70.09,34.59,2.04,0.32,3.52,3.68,14.83,23.65,21.36,1.26,45.61,-9.34,76.33,81.99,0.31,1.59,1.5,89.71,2.12,9.61,1.91,190592,11/8/2012 16:30
3820,MO,Altria Group Inc.,Consumer Goods,Cigarettes,USA,68246.21,17.55,14.16,2.37,2.78,17.74,31.22,,5.22,87.18,1.92,-12.56,7.69,1.6,7.4,4.84,-43.09,2.19,2025.11,2023.38,0.03,-10.33,60.1,-0.13,1.84,3.68,10.84,94.15,13.31,0.93,0.68,3.59,3.59,38.99,24.36,15.98,1.29,7.6,5.61,-2.26,23.85,7.19,0.43,0.42,1.01,1.1,3.45,3.96,3.56,0.48,13.83,-4.65,26.84,65.54,0.9,-0.15,2.1,10142.51,0.79,33.7,0.75,8033056,1/31/2013 8:30
3821,MOBI,Sky-mobi Limited,Technology,Diversified Communication Services,China,64.69,,22,,0.63,0.69,0.67,,,0,0,106.94,,0,20,,-265.93,-19.26,32.67,32.35,,,3.86,-1.56,0.51,2.75,0.22,0.17,0.28,4.79,,0,0,28.27,-2.02,0.25,-6.6,-1.49,-7.91,1.02,-44.69,-0.5,,0.1,4.28,5.07,-4.99,-1.26,-9.98,-12,17.86,-64.32,17.86,40.48,-2.94,0.49,2,59.52,1.67,1.98,-2.46,99111,2/4/2013 8:30
3822,MOC,Command Security Corp.,Services,Security & Protection Services,USA,21.47,,13.06,,0.15,1.2,2146.74,4.94,,,0,-91.08,183.33,-35.5,,8.57,-28.25,5.69,9.67,2.89,61.24,-8.07,14.07,15.22,1.18,0.83,-0.08,-0.15,-0.14,1.86,,0,0.37,11.96,0.36,-0.02,11.56,35.37,68.18,111.43,38.75,43.23,0.17,0.14,6.47,7.97,24.44,34.91,71.1,-14.29,74.8,-14.29,124.24,69.71,-4.31,0,2,41.07,1.79,2.22,-4.31,73614,11/14/2012
3823,MOCO,MOCON Inc.,Technology,Scientific & Technical Instruments,USA,77.53,31.27,,,1.74,2.36,8.92,,2.99,88.49,0.45,16.13,,6.82,,7.28,-67.8,30.05,5.51,5.08,6.26,6.16,37.67,-9.82,0.1,0.97,5.48,7.87,7,1.73,1.28,0.15,0.36,56.16,8.65,5.77,-0.21,-1.19,-3.96,-6.14,-10.27,-2.29,0.55,0.21,1.05,1.26,-1.4,-2.16,-5.52,-4.61,2.63,-29.63,2.63,42.31,-0.21,1.08,,5.45,0.52,14.07,0.86,2855,2/28/2013
3824,MOD,Modine Manufacturing Company,Consumer Goods,Auto Parts,USA,404.03,38.91,11.57,0.97,0.28,1.33,13.64,24.01,,0,0.22,352.84,72.1,-8.03,40,0.67,-1372.36,-14.44,47.2,46.42,0.46,70.8,81.54,0.52,3.5,8.62,1.31,3.16,1.95,1.51,1.05,0.47,0.54,15.79,2.25,0.78,0.23,6.34,24.78,44.84,-21.18,5.29,3.63,0.23,2.8,2.56,-0.33,9.59,19.74,-4.89,39.41,-24.65,55.64,56.64,-0.93,0.35,3,188.59,0.6,8.56,-0.58,113755,2/1/2013 8:30
3825,MOFG,"MidWest One Financial Group, Inc.",Financial,Regional - Southwest  Banks,USA,202.06,12.93,11.72,,2.91,1.18,7.46,14.21,2.1,17.55,1.84,36.89,3.05,5.71,,14.2,24.17,1.99,8.49,6.86,4.65,5.34,22.79,0.52,1.5,9.36,0.94,9.59,,,,0.09,0.45,,28.66,21.76,5.68,15.82,19.54,12.53,49.22,16.04,0.77,0.36,0.87,1.52,9.27,14.45,13.83,-0.38,23.83,-0.38,52.37,83.43,-0.08,1.93,1.7,10.97,1.35,23.8,1.84,14799,1/21/2013
3826,MOG-A,Moog Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,2043.14,13.56,11.21,1.65,0.82,1.55,13.43,,,,3.29,12.89,10.25,7.35,8.2,9.65,-6.26,3.36,45.8,40.86,0.96,-12.01,93.66,0.66,2.18,5.36,4.99,11.64,6.2,2.52,1.63,0.5,0.56,30.24,8.23,6.03,-0.45,10.56,19.85,26.48,1.94,8.73,1.31,1,2.6,2.07,2.53,12.61,14.95,-2.6,33.32,-2.6,33.32,65.98,-2.21,0.48,,166.59,2.23,44.61,-1.74,371304,1/31/2011
3827,MOH,Molina Healthcare Inc.,Healthcare,Health Care Plans,USA,1351.29,,20.01,,0.23,1.79,1.26,5.06,,,-1.07,-66.04,1308.3,-16.16,15.81,18.93,-82.47,30.89,46.58,30.19,3.15,-5.78,62.95,-0.31,5.69,4.4,-2.77,-6.35,-4.67,1.58,,0.35,0.35,13,-0.6,-0.85,3.94,7.33,27.63,14.08,1.19,7.21,1.21,0.71,2.09,2.88,5.78,4.98,13.98,-2.72,12.88,-21.23,64.55,64.35,-0.72,0.24,2.6,390.47,0.63,29.01,-0.48,246602,2/7/2013 16:30
3828,MOLX,Molex Inc.,Technology,Diversified Electronics,USA,4817.08,17.4,15.08,1.49,1.35,1.89,6.72,69.27,3.24,54.58,1.56,-6.6,13.92,4.1,11.67,1.33,8.81,12.84,177.49,138.73,32.9,-0.22,65.41,0.22,4.2,9.95,7.6,11.3,9.97,2.48,1.83,0.09,0.14,29.9,10.92,7.78,-4.74,0.37,6.1,15.39,5.77,-0.7,1.59,0.51,2.13,1.69,-3.39,0.07,5.94,-6.41,9.52,-6.41,27.25,42.55,-0.4,-0.8,2.6,585.8,1.08,27.14,-1.2,630176,1/23/2013 7:30
3829,MOM,QuantShares US Market Neut Momentum ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,-0.9,-4.39,-9.5,4.67,-0.94,,0.2,0.18,0.62,-0.76,-2.38,-4.12,-6.78,0.62,-11.49,19.28,35.44,0,0.08,,8.33,0.05,24.19,0.08,410,
3830,MON,Monsanto Co.,Basic Materials,Agricultural Chemicals,USA,55108.06,24.78,19.78,2.24,3.94,4.49,11.14,26.34,1.46,30.38,4.15,27.56,13.79,18.08,11.08,10.09,163.98,20.5,535.81,534.73,0.27,5.08,85.2,-0.21,1.08,2.26,10.68,19.27,15.01,1.96,1.38,0.17,0.17,52.46,24.36,16.39,0.37,9.73,18.78,22.27,28.43,9.09,0.92,1.47,1.21,1.43,3.78,10.11,20.76,-1.29,24.87,-1.29,49.29,73.69,-0.82,0.24,2,2557.63,0.84,102.85,-0.58,2138202,1/8/2013 8:30
3831,MONY,iShares Financials Sector Bond,Financial,Exchange Traded Fund,USA,,,,,,,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54,0.89,0.64,4.92,,0.7,,0.25,0.11,0.28,0.24,0.61,3.94,-0.93,3.46,-0.93,10.94,53.11,0,0,,2.28,1.12,53.5,0,0,
3832,MOO,Market Vectors Agribusiness ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,7.46,12.11,17.63,10.28,6.5,,0.52,0.65,0.87,3.07,7.14,12.48,-0.64,15.87,-0.64,31.81,74.54,-0.6,-0.02,,351.28,1.78,56.19,-0.62,626207,
3833,MORN,Morningstar Inc.,Technology,Information & Delivery Services,USA,3142.63,32.37,27.44,2.16,4.86,4.19,9.16,30.78,0.75,19.06,2.06,13.01,16.27,11.78,15,14.91,33.59,0.56,47.13,21.54,53.91,-0.66,57.7,16.24,4,10.46,9.21,12.93,12.01,1.89,,0,0,69.72,22.52,15.64,2.49,6.67,5.22,15.01,12.84,6.13,1.13,0.81,1.16,1.17,3.41,4.42,10.19,0.35,10.08,0.35,22.52,69.74,0.45,0.08,3,82.4,0.6,66.68,0.53,49071,2/13/2013 16:30
3834,MOS,The Mosaic Company,Basic Materials,Agricultural Chemicals,USA,26546.03,14.47,12.52,1.97,2.64,2.03,7.76,87.32,1.6,15.67,4.31,-21.46,15.28,36.31,7.36,13.98,5.01,-15.87,425.69,296.47,0.14,13.31,83.96,0.48,2.11,2.11,10.93,15.08,12.34,3.97,3.04,0.08,0.08,27.65,22.43,18.08,5.02,11.32,18.06,9.56,12.69,10.12,1.33,1.19,2.28,1.99,5.98,11.93,15.13,-1.73,29.14,-1.73,41.63,72.34,-1.24,-0.13,2.2,2965.47,1.02,62.36,-1.36,3022970,1/4/2013 8:30
3835,MOSY,"MoSys, Inc.",Technology,Semiconductor - Integrated Circuits,USA,147.67,15.42,,0.44,15.29,2.08,4.08,,,0,0.24,138.52,29.1,-62.73,35,-1.1,14.24,-37.02,39.91,32.52,2.65,1.94,45.43,0.89,4.5,18.57,14.86,15.89,15.86,11.15,,0,0,78.57,104.02,103.14,6.02,11.11,-7.5,15.99,-7.96,6.32,1.15,0.15,4.29,4.4,6.03,10.99,7.95,-4.39,33.57,-16.85,34.06,64.28,2.78,1.41,2,78.73,1.42,3.7,4.23,111980,2/1/2013 8:30
3836,MOTR,"Motricity, Inc.",Technology,Diversified Communication Services,USA,19.53,,,,0.21,0.52,1.03,,,,-0.27,-392.49,,0,25,40.9,100.38,-6.95,46.17,40.56,0.37,-5.53,26.56,0.16,16.15,8.83,-13.68,-28.02,-27.58,0.94,,0,0.52,59.82,-10.93,-15.22,0.71,-6,-6,-10,-47.78,3.17,,0.05,6.97,8.57,-3.86,-27.99,-31.19,-56.39,5.75,-77.14,17.5,38.76,-8.1,0.07,3,741.53,0.47,0.42,-8.04,348213,3/1/2013
3837,MOV,"Movado Group, Inc.",Consumer Goods,"Recreational Goods, Other",USA,938.36,15.84,20.25,1.32,1.86,2.19,5.69,29.7,0.54,49.44,2.34,234.15,21.19,-7.42,12,-2.56,105.23,12.33,25.32,17.62,4.21,-4.48,87.97,-1.29,3.22,2.9,11.39,14.61,13.93,4.49,2.89,0,0,55.71,10.32,12,-0.3,27.09,20.4,67.84,108.55,20.8,1.84,0.97,1.51,3.04,10.95,16.07,28.51,-1.17,32,-1.17,113.89,72.41,-0.27,0.16,1,195.57,0.61,37.06,-0.11,119748,11/28/2012 8:30
3838,MOVE,"Move, Inc.",Technology,Internet Information Providers,USA,362.14,57.56,24.89,1.39,1.87,3.85,11.73,22.53,,0,0.16,114.9,146.67,-34.87,41.5,-4.29,639.5,6.41,39.32,37.38,0.67,-87.53,75.47,-5.21,1.76,2.3,5.56,7.59,7.08,1.58,,0,0,80.04,3.74,4.14,7.34,22.64,13.84,5.86,28.45,21.66,1.56,0.25,2.94,3.14,12.53,19.1,10.72,0.77,33.09,-8.45,33.09,79.25,1.21,0,1.7,286.58,0.82,9.21,1.21,236326,2/12/2013 16:30
3839,MPA,BlackRock Muniyield Pennsylvania Insured Fund,Financial,Closed-End Fund - Debt,USA,187.56,,,,,,,,5.44,,,,,,,,,,11.5,11.5,,,10.56,-7.61,0.07,0.27,,,,,,,,,,,-0.12,1.62,0.68,4.75,8.37,0.18,0.16,0.19,1.01,1.14,-1.24,0.13,3.8,-4.17,4.95,-4.17,12.95,46.07,-0.67,-0.24,,31.65,0.39,16.31,-0.91,12321,
3840,MPAA,Motorcar Parts of America Inc.,Consumer Goods,Auto Parts,USA,96.37,,6.59,,0.25,1.41,2.95,,,,-4.1,-493.55,488.5,-14.01,15,21.68,-40.43,3.73,14.47,13.73,0.98,-29.73,55.59,-1.11,5.5,11.68,-10.91,-59.94,-17.58,0.92,0.37,1.97,2,8.94,-6.46,-13.87,-4.45,4.39,48.33,58.19,-6.59,1.37,1.27,0.32,5.25,4.59,-1.27,6.85,22.55,-8.14,39.33,-34.06,68.18,52.46,-1.91,-0.15,2.5,64.62,1.57,6.66,-2.06,101739,12/18/2012 8:30
3841,MPAC,MOD-PAC Corp.,Consumer Goods,Packaging & Containers,USA,22.28,21.69,20.41,,0.39,0.84,13.84,,,0,0.32,48.63,9.68,128.27,,3.84,47.91,7.06,3.21,2.33,5.03,125.94,23.24,-53.12,0.14,0.61,3.41,4.09,3.82,4.78,2.59,0.07,0.07,15.77,3.04,1.86,-0.43,1.17,36.35,49.25,0.58,2.36,1.25,0.07,0.55,0.69,0.92,1.97,22.29,-1,6.61,-3.61,69.27,56.24,0,0,3,5.36,0.75,6.94,0,0,10/31/2012 8:30
3842,MPB,Mid Penn Bancorp Inc.,Financial,Regional - Northeast Banks,USA,38.49,8.36,12.39,,1.24,0.68,4.78,4.31,1.81,15.14,1.32,80.27,36.92,-3.61,,2.26,13.21,-6.71,3.49,3.03,0.08,0.44,1.53,-5.6,0.06,0.85,0.71,10.28,,,,0,0,,24.25,19.08,-2.22,10.3,11.3,9.75,46.09,-1.43,0.07,0.22,0.72,1.38,-0.13,6.19,9.11,-2.22,13.71,-2.66,43.99,55.01,0,-0.18,,2.06,0.05,11.03,-0.18,100,1/21/2013
3843,MPC,Marathon Petroleum Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,23284.71,9.15,7.09,0.89,0.29,2.03,6.87,16.63,2.04,14.81,7.5,281.76,0,0,10.26,,13.45,2.89,339.18,338.34,0.23,,84.55,0.14,2.18,2.4,9.93,23.85,14.74,1.51,1.04,0.29,0.29,7.65,4.92,3.17,5.29,11.34,29.75,56.34,81.81,8.97,,1.49,2.46,2.42,7.42,12.12,38.18,-0.62,30.41,-0.62,106.79,73.89,0.12,-0.15,2,3074.42,0.94,68.65,-0.03,2891728,1/30/2013 8:30
3844,MPEL,Melco Crown Entertainment Ltd.,Services,Resorts & Casinos,Hong Kong,10669.31,26.39,23.06,0.63,2.68,3.37,6.14,,,,0.76,2861.21,17.57,0,42.09,154.19,-9.81,-4.27,531.87,731.78,32.01,,25.95,8.15,0.58,0.93,6.15,13.88,7.77,1.55,1.54,0.48,0.72,28.07,12.66,10.07,1.62,22.62,43.39,111.6,77.68,19.12,2.05,0.52,2.26,2.82,6.21,19.49,47.77,-2.57,49.37,-2.57,119.72,68.25,-1.71,0.1,2,4552.28,0.76,20.06,-1.62,3466934,11/10/2011
3845,MPET,Magellan Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,57.66,2.97,,,4.95,0.84,1.52,,,0,0.36,179.22,,114.61,,-14.87,-673.98,-55.56,53.89,33.27,1.47,38.45,19.48,35.84,0.13,0.3,25.94,35.2,29.56,5.25,5.19,0,0.02,-2.11,112.06,174,-0.93,17.58,17.58,-1.83,15.05,16.3,1.26,0.06,6.5,5.99,11.46,18.63,3.66,-6.96,44.59,-34.36,44.59,63.82,1.9,-1.87,1,150.81,1.42,1.07,0,213992,11/12/2012
3846,MPG,"MPG Office Trust, Inc.",Financial,REIT - Office,USA,174.43,,,,0.61,,1.49,,,,-2.06,46.99,-33.3,-61.5,-0.53,-4.96,-7.93,-7.35,57.19,55.97,9.78,-9.69,67.29,-0.08,5.24,11.53,-4.65,,-4.82,,,,,73.43,-33.79,-33.79,1.33,3.39,-8.96,18.68,27.62,-0.97,2.35,0.1,3.27,3.34,-0.72,4.45,12.17,-4.39,22,-19.95,83.73,55.55,0.66,0,3,254.35,1.32,3.05,0.66,335542,3/5/2013
3847,MPLX,MPLX LP,Basic Materials,Oil & Gas Pipelines,USA,2504.47,19.7,28.97,1.31,5.72,2.13,36.56,,,,1.72,,39.29,0,15,,-6.1,10.8,73.9,17.21,0.52,,5.45,99.63,1.63,0.69,,,,2.44,2.27,0.01,0.01,,,,5.25,11.74,,,,8.66,,0.96,3.23,3.19,4.86,11.52,13.51,-1.8,27.89,-1.8,33.69,71.08,2.63,-0.24,2.1,407.59,0.23,33.89,2.39,94535,1/30/2013 8:30
3848,MPO,"Midstates Petroleum Company, Inc.",Basic Materials,Independent Oil & Gas,USA,458.28,,86,,2.32,1.3,98.13,,,,-2.48,469.72,60,0,25,,-136.7,-71.95,66.61,58.85,9.38,4.52,77.8,0.64,2.15,2.81,-22.94,-51.69,-26.33,0.32,0.26,0.62,0.65,,-0.54,-82.41,-1.43,-1.15,2.69,-24.97,,-0.15,,0.23,2.51,3.2,-4.05,0.4,-25.5,-10.65,46.07,-59.41,46.07,45.96,-1.01,0.72,1.9,450.72,0.74,6.88,-0.29,332451,11/7/2012 16:30
3849,MPR,Met-Pro Corp.,Industrial Goods,Diversified Machinery,USA,158.06,20.3,16.3,1.69,1.42,1.82,4.81,,2.7,53.66,0.53,16.07,20,1.17,12,1.38,34.64,17.89,14.69,14.43,0.19,55.83,55.64,-0.24,1.74,8.33,6.82,8.98,7.96,4.41,3.29,0.03,0.03,34.26,10.51,7.02,7.39,16.45,20.9,22.27,9.35,11.04,0.94,0.3,3.28,2.95,6.7,14.34,16.82,-0.74,29.62,-0.74,31.65,70.97,0.09,-0.19,1.8,30.15,0.92,10.76,-0.09,27851,12/6/2012 8:30
3850,MPV,MassMutual Participation Investors,Financial,Closed-End Fund - Debt,USA,146.46,,,,,,,,7.48,,,,,,,,,,10.15,10.15,0.59,,19.31,,0.01,0.09,,,,,,,,,,,0.63,4.72,1.62,1.33,3.22,3.74,0.31,0.18,0.68,1.35,1.44,2.59,2.43,-0.48,5.1,-7.17,11.36,62.44,0.14,-0.07,,14.28,0.23,14.43,0.07,3326,
3851,MPW,Medical Properties Trust Inc.,Financial,REIT - Healthcare Facilities,USA,1826.13,30.61,16.63,2.86,10.23,1.76,50.5,,5.94,181.25,0.44,85.89,26.56,-18.37,10.7,31.53,962.34,54.93,135.57,134.04,2.8,-16.31,73.43,-0.85,4.28,4.47,3.08,6.07,3.27,,,0.99,0.99,,61.68,32.45,4.18,14.25,20.48,44.22,39.3,12.63,1.61,0.2,1.7,1.57,6.89,12.35,32.44,1.66,24.01,1.66,64.99,81.79,1.28,0.68,2.8,1282.92,1.85,13.47,1.97,2367730,1/30/2013
